Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,9.1694,19.05,-90,top
C2,10uF,C_0603_1608Metric,9.017,25.0952,90,top
C3,0.1uF,C_0402_1005Metric,10.3632,24.5618,90,top
C4,10uF,C_0603_1608Metric,26.6954,12.7,90,top
C5,10uF,C_0603_1608Metric,30.1498,7.0358,90,top
C6,0.1uF,C_0402_1005Metric,16.637,11.2014,-90,top
C7,0.1uF,C_0402_1005Metric,9.652,11.5824,90,top
D1,LTVS16H5.0T5G,DFN1610,40.067458,9.4488,0,top
R1,10k,R_0402_1005Metric,27.559,24.9174,90,top
R2,5.1k,R_0402_1005Metric,33.0454,10.8458,-90,top
R3,10k,R_0402_1005Metric,27.5844,26.9494,-90,top
R4,10k,R_0402_1005Metric,10.3632,19.05,90,top
R5,1k,R_0402_1005Metric,3.7084,25.2476,-90,top
R6,1k,R_0402_1005Metric,4.5212,15.4432,-90,top
R7,5.1k,R_0402_1005Metric,33.8836,15.5194,-90,top
R8,4.7k,R_0402_1005Metric,18.7452,3.8354,180,top
R9,10k,R_0402_1005Metric,28.1432,12.192,-90,top
R10,1.6k,R_0402_1005Metric,6.5786,30.988,-90,top
R11,3.92k,R_0402_1005Metric,3.683,27.2796,-90,top
R12,7.5k,R_0402_1005Metric,4.5212,17.5006,-90,top
R13,1k,R_0402_1005Metric,6.5786,28.956,-90,top
R14,10k,R_0402_1005Metric,20.8534,7.9756,0,top
R15,10k,R_0402_1005Metric,18.669,7.9502,0,top
R16,4.7k,R_0402_1005Metric,20.9804,3.7846,180,top
R17,30.1,R_0402_1005Metric,25.7302,18.5928,0,top
R18,30.1,R_0402_1005Metric,25.7556,17.5006,0,top
SD1,472192001,472192001,35.2552,12.472206,180,top
U1,ESP32-C3-MINI-1,ESP32-C3-MINI-1,17.8054,23.6728,0,top
U2,AZ1117IH-3.3TRG1,SOT-223-4,25.7302,-1.777994,180,top
U4,LM321MF,LM321MF,6.146813,26.695056,0,top
U5,LM321MF,LM321MF,9.017013,35.407256,0,top
U6,LM321MF,LM321MF,6.096013,31.063856,0,top
U7,LM321MF,LM321MF,6.807213,21.564256,0,top
U8,LM321MF,LM321MF,5.562613,16.966856,0,top
U9,A03401A,SOT-23,33.147,-0.654234,180,top
U10,A03401A,SOT-23,35.833234,11.811,-90,top
U11,SX1509BIULTRT,QFN-28-EP(4x4),18.01923,11.43,-90,top
USB-C1,USB-TYPE-C-018,USB-TYPE-C-018,30.2006,11.8618,90,top
